"Vanhojen vapaarahoitteisten asuntojen hinnat muuttujina Nelj‰nnes,"
"Talotyyppi, Rakennusvuosi, Vuosi, Postinumero ja Tiedot"

" ";" ";" ";" ";" ";"Keskihinta";"Lukum‰‰r‰"
"Vuosi"
" ";"Talotyypit yhteens‰"
" ";" ";"Rakennusvuodet yhteens‰"
" ";" ";" ";"2011"
" ";" ";" ";" ";"13880";1716;12
" ";" ";" ";" ";"13900";.;.
" ";" ";" ";" ";"14200";1502;104
" ";" ";" ";" ";"14300";1202;7
" ";" ";" ";" ";"14500";1283;14
" ";" ";" ";" ";"14610";.;1
" ";" ";" ";" ";"14680";.;.
" ";" ";" ";" ";"14700";1260;13
" ";" ";" ";" ";"14770";.;4
" ";" ";" ";" ";"14820";.;5
" ";" ";" ";" ";"14870";.;.
" ";" ";" ";" ";"14960";.;.
" ";" ";" ";" ";"15100";2019;78
" ";" ";" ";" ";"15110";2296;97
" ";" ";" ";" ";"15140";2369;277
" ";" ";" ";" ";"15150";1632;114
" ";" ";" ";" ";"15160";2401;10
" ";" ";" ";" ";"15170";1257;110
" ";" ";" ";" ";"15200";1406;52
" ";" ";" ";" ";"15210";1459;120
" ";" ";" ";" ";"15230";1229;22
" ";" ";" ";" ";"15240";1306;164
" ";" ";" ";" ";"15270";.;3
" ";" ";" ";" ";"15300";1549;40
" ";" ";" ";" ";"15320";1839;7
" ";" ";" ";" ";"15340";.;4
" ";" ";" ";" ";"15500";1202;90
" ";" ";" ";" ";"15520";1551;60
" ";" ";" ";" ";"15540";1454;28
" ";" ";" ";" ";"15550";1250;60
" ";" ";" ";" ";"15560";1229;72
" ";" ";" ";" ";"15610";1899;29
" ";" ";" ";" ";"15680";.;.
" ";" ";" ";" ";"15700";1490;60
" ";" ";" ";" ";"15800";1640;65
" ";" ";" ";" ";"15810";.;4
" ";" ";" ";" ";"15830";1303;97
" ";" ";" ";" ";"15840";1352;24
" ";" ";" ";" ";"15850";2052;7
" ";" ";" ";" ";"15860";1324;82
" ";" ";" ";" ";"15870";1704;50
" ";" ";" ";" ";"15880";1406;44
" ";" ";" ";" ";"15900";2416;19
" ";" ";" ";" ";"15950";1696;100
" ";" ";" ";" ";"16100";735;11
" ";" ";" ";" ";"16200";.;.
" ";" ";" ";" ";"16300";1351;132
" ";" ";" ";" ";"16320";.;.
" ";" ";" ";" ";"16500";.;1
" ";" ";" ";" ";"16600";1265;16
" ";" ";" ";" ";"16610";.;1
" ";" ";" ";" ";"16670";.;.
" ";" ";" ";" ";"16710";.;1
" ";" ";" ";" ";"16800";.;4
" ";" ";" ";" ";"16900";1013;78
" ";" ";" ";" ";"17130";.;1
" ";" ";" ";" ";"17200";1310;60
" ";" ";" ";" ";"17240";.;.
" ";" ";" ";" ";"17500";918;18
" ";" ";" ";" ";"17610";.;.
" ";" ";" ";" ";"17800";990;21
" ";" ";" ";" ";"18100";1299;136
" ";" ";" ";" ";"18120";.;3
" ";" ";" ";" ";"18130";770;55
" ";" ";" ";" ";"18150";919;57
" ";" ";" ";" ";"18200";859;34
" ";" ";" ";" ";"18300";947;17
" ";" ";" ";" ";"18600";.;.
" ";" ";" ";" ";"19110";.;1
" ";" ";" ";" ";"19120";.;2
" ";" ";" ";" ";"19160";.;1
" ";" ";" ";" ";"19210";.;.
" ";" ";" ";" ";"19260";.;.
" ";" ";" ";" ";"19410";.;3
" ";" ";" ";" ";"19430";774;6
" ";" ";" ";" ";"19470";.;.
" ";" ";" ";" ";"19540";.;.
" ";" ";" ";" ";"19600";1075;19
" ";" ";" ";" ";"19650";1032;36
" ";" ";" ";" ";"19700";930;27
" ";" ";" ";" ";"19910";.;3
" ";" ";" ";" ";"19950";.;.
" ";" ";" ";" ";"20100";2642;634
" ";" ";" ";" ";"20200";1912;86
" ";" ";" ";" ";"20210";1229;53
" ";" ";" ";" ";"20240";1162;44
" ";" ";" ";" ";"20250";.;.
" ";" ";" ";" ";"20300";2033;117
" ";" ";" ";" ";"20320";1683;319
" ";" ";" ";" ";"20360";1315;197
" ";" ";" ";" ";"20380";2122;11
" ";" ";" ";" ";"20400";1930;6
" ";" ";" ";" ";"20460";1251;46
" ";" ";" ";" ";"20500";2486;147
" ";" ";" ";" ";"20520";2037;55
" ";" ";" ";" ";"20540";1716;191
" ";" ";" ";" ";"20610";1237;221
" ";" ";" ";" ";"20660";2160;22
" ";" ";" ";" ";"20700";2436;146
" ";" ";" ";" ";"20720";1888;137
" ";" ";" ";" ";"20740";1731;146
" ";" ";" ";" ";"20750";1273;94
" ";" ";" ";" ";"20760";1770;77
" ";" ";" ";" ";"20780";1739;171
" ";" ";" ";" ";"20810";2519;268
" ";" ";" ";" ";"20880";1764;88
" ";" ";" ";" ";"20900";2358;47
" ";" ";" ";" ";"20960";.;.
" ";" ";" ";" ";"21100";1991;102
" ";" ";" ";" ";"21110";1695;88
" ";" ";" ";" ";"21120";.;5
" ";" ";" ";" ";"21140";1147;8
" ";" ";" ";" ";"21160";1859;17
" ";" ";" ";" ";"21195";.;1
" ";" ";" ";" ";"21200";1547;233
" ";" ";" ";" ";"21210";1400;45
" ";" ";" ";" ";"21220";1539;15
" ";" ";" ";" ";"21230";1430;6
" ";" ";" ";" ";"21240";.;2
" ";" ";" ";" ";"21250";1950;34
" ";" ";" ";" ";"21260";2053;17
" ";" ";" ";" ";"21270";1494;9
" ";" ";" ";" ";"21280";2200;22
" ";" ";" ";" ";"21290";1762;14
" ";" ";" ";" ";"21310";1410;9
" ";" ";" ";" ";"21330";.;.
" ";" ";" ";" ";"21350";.;3
" ";" ";" ";" ";"21360";1455;7
" ";" ";" ";" ";"21370";.;5
" ";" ";" ";" ";"21380";1355;29
" ";" ";" ";" ";"21410";.;1
" ";" ";" ";" ";"21420";1844;59
" ";" ";" ";" ";"21430";.;.
" ";" ";" ";" ";"21450";1133;11
" ";" ";" ";" ";"21490";1261;6
" ";" ";" ";" ";"21500";1659;61
" ";" ";" ";" ";"21530";1334;106
" ";" ";" ";" ";"21540";.;4
" ";" ";" ";" ";"21560";.;5
" ";" ";" ";" ";"21570";1293;7
" ";" ";" ";" ";"21590";.;1
" ";" ";" ";" ";"21600";1486;103
" ";" ";" ";" ";"21610";.;.
" ";" ";" ";" ";"21620";1892;7
" ";" ";" ";" ";"21630";.;.
" ";" ";" ";" ";"21650";.;.
" ";" ";" ";" ";"21660";.;2
" ";" ";" ";" ";"21710";.;3
" ";" ";" ";" ";"21760";.;1
" ";" ";" ";" ";"21800";1027;21
" ";" ";" ";" ";"21820";.;5
" ";" ";" ";" ";"21860";.;.
" ";" ";" ";" ";"21870";1009;15
" ";" ";" ";" ";"21880";.;3
" ";" ";" ";" ";"21900";1081;9
" ";" ";" ";" ";"21930";.;.
" ";" ";" ";" ";"23100";1399;32
" ";" ";" ";" ";"23120";.;4
" ";" ";" ";" ";"23140";.;.
" ";" ";" ";" ";"23200";969;13
" ";" ";" ";" ";"23210";.;.
" ";" ";" ";" ";"23310";.;4
" ";" ";" ";" ";"23360";.;3
" ";" ";" ";" ";"23450";.;5
" ";" ";" ";" ";"23500";1007;230
" ";" ";" ";" ";"23600";907;18
" ";" ";" ";" ";"23800";1021;76
" ";" ";" ";" ";"23930";.;.
" ";" ";" ";" ";"23950";.;2
" ";" ";" ";" ";"24100";1496;246
" ";" ";" ";" ";"24130";1435;23
" ";" ";" ";" ";"24240";1388;71
" ";" ";" ";" ";"24260";1298;81
" ";" ";" ";" ";"24280";1556;65
" ";" ";" ";" ";"24800";1387;102
" ";" ";" ";" ";"24910";.;.
" ";" ";" ";" ";"25110";.;.
" ";" ";" ";" ";"25130";1278;6
" ";" ";" ";" ";"25160";.;.
" ";" ";" ";" ";"25190";925;7
" ";" ";" ";" ";"25210";.;.
" ";" ";" ";" ";"25230";.;1
" ";" ";" ";" ";"25240";.;.
" ";" ";" ";" ";"25250";1204;9
" ";" ";" ";" ";"25260";.;3
" ";" ";" ";" ";"25320";.;1
" ";" ";" ";" ";"25330";.;2
" ";" ";" ";" ";"25340";.;.
" ";" ";" ";" ";"25360";1024;16
" ";" ";" ";" ";"25370";.;.
" ";" ";" ";" ";"25380";.;1
" ";" ";" ";" ";"25390";.;4
" ";" ";" ";" ";"25410";.;5
" ";" ";" ";" ";"25460";.;4
" ";" ";" ";" ";"25470";.;2
" ";" ";" ";" ";"25500";1239;22
" ";" ";" ";" ";"25520";.;1
" ";" ";" ";" ";"25550";.;1
" ";" ";" ";" ";"25570";.;5
" ";" ";" ";" ";"25630";.;5
" ";" ";" ";" ";"25640";.;1
" ";" ";" ";" ";"25660";.;1
" ";" ";" ";" ";"25700";1348;11
" ";" ";" ";" ";"25830";.;1
" ";" ";" ";" ";"25860";.;1
" ";" ";" ";" ";"25870";.;5
" ";" ";" ";" ";"25900";1128;16
" ";" ";" ";" ";"26100";1638;295
" ";" ";" ";" ";"26200";1595;67
" ";" ";" ";" ";"26410";.;.
" ";" ";" ";" ";"26510";1063;11
" ";" ";" ";" ";"26660";1306;92
" ";" ";" ";" ";"26720";.;1
" ";" ";" ";" ";"26820";1110;32
" ";" ";" ";" ";"26840";1500;9
" ";" ";" ";" ";"27100";1221;20
" ";" ";" ";" ";"27150";.;4
" ";" ";" ";" ";"27230";.;5
" ";" ";" ";" ";"27310";818;7
" ";" ";" ";" ";"27320";.;5
" ";" ";" ";" ";"27400";.;2
" ";" ";" ";" ";"27430";717;11
" ";" ";" ";" ";"27450";.;.
" ";" ";" ";" ";"27500";986;27
" ";" ";" ";" ";"27510";1230;43
" ";" ";" ";" ";"27600";.;2
" ";" ";" ";" ";"27640";.;.
" ";" ";" ";" ";"27650";.;2
" ";" ";" ";" ";"27670";.;1
" ";" ";" ";" ";"27710";.;5
" ";" ";" ";" ";"27730";.;1
" ";" ";" ";" ";"27750";.;.
" ";" ";" ";" ";"27800";1107;12
" ";" ";" ";" ";"27820";.;5
" ";" ";" ";" ";"27840";.;.
" ";" ";" ";" ";"27860";.;.
" ";" ";" ";" ";"27910";.;3
" ";" ";" ";" ";"27920";.;1
" ";" ";" ";" ";"28100";1882;343
" ";" ";" ";" ";"28120";1318;57
" ";" ";" ";" ";"28130";1445;81
" ";" ";" ";" ";"28190";993;83
" ";" ";" ";" ";"28200";1444;36
" ";" ";" ";" ";"28220";1450;36
" ";" ";" ";" ";"28240";.;.
" ";" ";" ";" ";"28260";.;.
" ";" ";" ";" ";"28300";1642;31
" ";" ";" ";" ";"28330";1065;67
" ";" ";" ";" ";"28360";1378;59
" ";" ";" ";" ";"28370";876;50
" ";" ";" ";" ";"28400";1310;49
" ";" ";" ";" ";"28430";1535;16
" ";" ";" ";" ";"28450";1162;25
" ";" ";" ";" ";"28500";1129;24
" ";" ";" ";" ";"28540";.;4
" ";" ";" ";" ";"28580";.;.
" ";" ";" ";" ";"28600";1421;44
" ";" ";" ";" ";"28610";1376;50
" ";" ";" ";" ";"28660";1497;52
" ";" ";" ";" ";"28760";1180;13
" ";" ";" ";" ";"28800";808;20
" ";" ";" ";" ";"28840";613;11
" ";" ";" ";" ";"28880";.;.
" ";" ";" ";" ";"28900";.;2
" ";" ";" ";" ";"29100";1254;18
" ";" ";" ";" ";"29200";860;77
" ";" ";" ";" ";"29250";1018;31
" ";" ";" ";" ";"29310";.;.
" ";" ";" ";" ";"29320";.;.
" ";" ";" ";" ";"29340";.;1
" ";" ";" ";" ";"29600";.;.
" ";" ";" ";" ";"29630";884;6
" ";" ";" ";" ";"29700";.;.
" ";" ";" ";" ";"29810";.;3
" ";" ";" ";" ";"29880";.;.
" ";" ";" ";" ";"29900";.;2
" ";" ";" ";" ";"30100";1298;129
" ";" ";" ";" ";"30300";785;58
" ";" ";" ";" ";"30420";1204;73
" ";" ";" ";" ";"31110";.;.
" ";" ";" ";" ";"31130";.;.
" ";" ";" ";" ";"31160";.;1
" ";" ";" ";" ";"31300";1244;26
" ";" ";" ";" ";"31400";1138;70
" ";" ";" ";" ";"31470";.;2
" ";" ";" ";" ";"31500";1021;12
" ";" ";" ";" ";"31600";1151;24
" ";" ";" ";" ";"31610";.;.
" ";" ";" ";" ";"31620";.;2
" ";" ";" ";" ";"31630";.;1
" ";" ";" ";" ";"31640";.;5
" ";" ";" ";" ";"31700";.;2
" ";" ";" ";" ";"31720";.;1
" ";" ";" ";" ";"31760";1077;13
" ";" ";" ";" ";"31900";857;11
" ";" ";" ";" ";"32100";.;5
" ";" ";" ";" ";"32200";1222;112
" ";" ";" ";" ";"32210";810;30
" ";" ";" ";" ";"32250";.;.
" ";" ";" ";" ";"32270";.;.
" ";" ";" ";" ";"32300";.;4
" ";" ";" ";" ";"32410";.;.
" ";" ";" ";" ";"32440";753;10
" ";" ";" ";" ";"32500";.;3
" ";" ";" ";" ";"32560";.;.
" ";" ";" ";" ";"32610";.;4
" ";" ";" ";" ";"32620";.;.
" ";" ";" ";" ";"32700";1132;81
" ";" ";" ";" ";"32730";.;2
" ";" ";" ";" ";"32740";779;22
" ";" ";" ";" ";"32800";871;32
" ";" ";" ";" ";"32810";.;3
" ";" ";" ";" ";"32910";.;.
