"","alue","vakiluku","temp","area","logtiheys","kunta","hintataso","trendi","trendimuutos","pinta_ala"
"59310","Särkisalmi",974,593,"3",0.949466729271875,"Parikkala",916.303284148034,0.0290158493976639,"-0.00906258144050647",109.41887056073
"59320","Haapaoja",93,593,"3",0.541846275529243,"Parikkala",924.641839030019,0.0288654272986002,"-0.00889918002531829",26.7077112995556
"59410","Kirjavala",431,594,"4",0.702809778767286,"Parikkala",911.957730865628,0.0290947838180832,"-0.00914832679364189",85.4412299255016
"59510","Maironiemi",443,595,"5",1.06872864401335,"Parikkala",900.39255856906,0.0293067051070352,"-0.0093785339157257",37.8159558458114
"59520","Saari",131,595,"5",0.675649976662836,"Parikkala",881.979639988604,0.0296497874832847,"-0.00975121948622538",27.6453007534054
"59530","Mikkolanniemi",93,595,"5",0.646760412069569,"Parikkala",800.949410361486,0.0302078110773543,"-0.0092940516473062",20.9759933414181
"59610","Tarnala",197,596,"6",0.743612462326612,"Parikkala",884.780543986328,0.0288506926165867,"-0.0091957762648844",35.5511590118478
"59710","Kummunkylä",121,597,"7",0.59593702573833,"Parikkala",870.372732854782,0.0291374162660772,"-0.00949624942829771",30.6795047450225
"59720","Niukkala",166,597,"7",0.459487584759412,"Parikkala",1589.85859177664,0.0628713926568153,"-0.00155906235751844",57.6262691444905
"59730","Uukuniemi",128,597,"7",0.238587652145358,"Parikkala",1474.27204912857,0.054006952334215,"-0.00287742665594517",73.8962359818552
"59800","Kesälahti Keskus",1695,598,"8",0.668583257057312,"Kitee",1216.04702202507,0.0597861741607179,"-0.00379668701510885",363.568664988125
"59810","Suurikylä",96,598,"8",0.616233679642118,"Kitee",1677.13354056669,0.0507248258194607,"-0.00589919684390803",23.2293765184358
"59820","Purujärvi-Rajavaara",165,598,"8",0.436725913966319,"Kitee",1510.39164705554,0.0635794824145671,"-0.00587399624841861",60.3612229529421
"60100","Seinäjoki Keskus",9313,601,"1",2.99459786825002,"Seinäjoki",1066.10333752911,0.0442884254633608,"-0.0105643402543956",9.42956665366645
"60120","Pohja",2548,601,"1",2.89257830439918,"Seinäjoki",1303.14341507368,0.0519998726555545,"-0.00657228037252394",3.26303039516059
"60150","Kasperi",4476,601,"1",3.22591363232636,"Seinäjoki",1218.88350562814,0.0497471935844618,"-0.0076096395618578",2.66058075617113
"60200","Törnävä",10216,602,"2",2.06884279926801,"Seinäjoki",1656.29667575948,0.0559384831000153,"-0.00406691513513789",87.1842598548301
"60220","Huhtala",1932,602,"2",2.2780226993602,"Seinäjoki",1288.82235697495,0.0556270285642442,"-0.0062448141847918",10.1855485385877
"60280","Eskoon Keskuslaitosalue",2,602,"2",-0.682673739157742,"Seinäjoki",1572.31130974078,0.0551826506236731,"-0.0054477811216722",9.63171747019611
"60320","Alakylä-Jouppi",6972,603,"3",2.48074775470026,"Seinäjoki",1193.52313644508,0.0490386159433383,"-0.00793593971566505",23.0467464396903
"60420","Impivaara",1219,604,"4",1.54686025813034,"Seinäjoki",1273.72336938469,0.0545868442546004,"-0.00632624719702797",34.6053660491827
"60450","Munakka",419,604,"4",0.955195993435931,"Ilmajoki",1235.95359613899,0.0502500082812337,"-0.00742294024560171",46.4534559755371
"60510","Hyllykallio",7846,605,"5",3.01795434085141,"Seinäjoki",1281.74456600384,0.0512843124241286,"-0.00667886155312539",7.52824878874198
"60550","Nurmo Keskus",4442,605,"5",1.61282815714688,"Seinäjoki",1096.79729737337,0.0454665590254143,"-0.0086318663012385",108.33041255278
"60560","Halkosaari",702,605,"5",1.70103868297458,"Seinäjoki",1015.71137769142,0.0478294104743625,"-0.00957251361753346",13.9732821722699
"60640","Kurjenneva",660,606,"6",0.769088671539054,"Seinäjoki",1029.53118546304,0.0479718956044587,"-0.00936799617973324",112.319526512281
"60720","Tuomikylä",1854,607,"7",1.66077543406516,"Ilmajoki",1034.03123098234,0.0480178794978108,"-0.009301992744553",40.4887431610181
"60760","Pohjanluoma",1022,607,"7",1.06997527367325,"Ilmajoki",947.13162405386,0.047092367309562,"-0.0106304357986859",86.9912601647053
"60800","Ilmajoki Keskus",5823,608,"8",1.45119545041573,"Ilmajoki",1015.3576341497,0.0478257379084629,"-0.00957778507124539",206.039904395753
"61100","Peräseinäjoki Keskus",2076,611,"1",1.15239890832163,"Seinäjoki",980.484390067897,0.0474572560226826,"-0.0101066891828863",146.159968536438
"61110","Vuolle",186,611,"1",0.861895278640827,"Seinäjoki",980.180871504395,0.0474539917415049,"-0.0101113746010929",25.5633440772013
"61120","Louko",715,611,"1",0.986105586509535,"Seinäjoki",1003.12080487818,0.0481587153424858,"-0.00961751932216636",73.8244899779854
"61140","Pasto",141,611,"1",1.02619168915345,"Alavus",1011.24370897845,0.0482423171908025,"-0.00949477334101496",13.2747827862847
"61150","Sydänmaa",66,611,"1",0.219383611980674,"Alavus",996.156003214856,0.048086491956784,"-0.00972355920667315",39.8254162385957
"61160","Koura",578,611,"1",0.858693747781076,"Seinäjoki",1006.17352768771,0.0481902134461392,"-0.00957127314800645",80.0265492772745
"61170","Sääskiniemi",305,611,"1",0.537472519671814,"Alavus",1011.5136372636,0.0482450837812454,"-0.00949071137509913",88.4763747958912
