year pnro price n
2011 54920 1626.0 6
2011 55100 1316.0 133
2011 55120 1014.0 52
2011 55300 1028.0 9
2011 55320 980.0 9
2011 55420 1501.0 8
2011 55510 732.0 22
2011 55610 913.0 35
2011 55700 1110.0 14
2011 55800 796.0 41
2011 55910 822.0 6
2011 56100 1236.0 31
2011 56800 823.0 8
2011 57100 1652.0 107
2011 57130 1772.0 61
2011 57170 1092.0 42
2011 57200 1205.0 56
2011 57210 1208.0 51
2011 57220 887.0 11
2011 57230 975.0 36
2011 57510 1258.0 7
2011 57600 1302.0 15
2011 57710 1312.0 31
2011 58200 1106.0 21
2011 58500 801.0 14
2011 58700 663.0 12
2011 58900 704.0 22
2011 59100 1027.0 16
2011 59800 955.0 11
2011 60100 1809.0 226
2011 60120 1613.0 40
2011 60150 1374.0 64
2011 60200 1885.0 171
2011 60220 1723.0 43
2011 60320 1775.0 102
2011 60510 1876.0 157
2011 60550 1303.0 27
2011 60800 1379.0 24
2011 61300 1092.0 49
2011 61400 1101.0 14
2011 61500 832.0 15
2011 61600 1064.0 31
2011 61800 1201.0 70
2011 62100 1345.0 118
2011 62200 1141.0 36
2011 62300 833.0 6
2011 62375 884.0 9
2011 62900 1003.0 14
2011 63100 965.0 6
2011 63300 1135.0 43
2011 63600 828.0 9
2011 63610 1336.0 9
2011 63700 1149.0 27
2011 63800 728.0 8
2011 64100 800.0 16
2011 64200 1043.0 12
2011 64260 1006.0 9
2011 64700 891.0 16
2011 64900 939.0 8
2011 65100 2146.0 376
2011 65200 1862.0 116
2011 65230 1493.0 62
2011 65280 1826.0 76
2011 65300 1741.0 26
2011 65320 1525.0 84
2011 65350 1452.0 103
2011 65370 1167.0 55
2011 65380 1466.0 29
2011 65450 1824.0 6
2011 65610 1655.0 99
2011 65630 1873.0 12
2011 66400 1236.0 54
2011 66500 989.0 7
2011 66900 1171.0 28
2011 67100 1872.0 164
2011 67200 1544.0 61
2011 67300 1886.0 26
2011 67400 1755.0 19
2011 67700 1354.0 20
2011 67800 1097.0 29
2011 68300 1201.0 18
2011 68580 1887.0 6
2011 68600 1177.0 78
2011 68620 1072.0 50
2011 68630 1336.0 16
2011 68660 882.0 15
2011 69100 958.0 41
2011 69300 792.0 13
2011 69600 1002.0 11
2011 70100 2400.0 345
2011 70110 2240.0 113
2011 70150 1785.0 95
2011 70200 1743.0 154
2011 70260 1902.0 59
2011 70280 1482.0 32
2011 70300 2309.0 17
2011 70340 1587.0 54
2011 70420 1514.0 50
2011 70460 1482.0 107
2011 70500 1679.0 140
2011 70600 2072.0 62
2011 70620 1791.0 35
2011 70700 1864.0 60
2011 70780 1714.0 83
2011 70800 1941.0 27
2011 70820 1984.0 152
2011 70840 2494.0 23
2011 70900 1968.0 17
2011 70910 1721.0 57
2011 71200 768.0 21
2011 71310 1468.0 7
2011 71750 1185.0 19
2011 71800 1528.0 112
2011 71850 1506.0 32
2011 71870 939.0 8
2011 72400 918.0 24
2011 72600 867.0 14
2011 73100 1064.0 57
2011 73300 1368.0 49
2011 73310 3350.0 11
2011 73460 737.0 6
2011 73500 906.0 18
2011 73600 794.0 19
2011 74100 1596.0 108
2011 74120 1350.0 88
2011 74130 1426.0 44
2011 74200 961.0 12
2011 74300 917.0 6
2011 74700 968.0 36
2011 75500 784.0 35
2011 75530 898.0 37
2011 75700 687.0 6
2011 76100 1036.0 90
2011 76120 973.0 14
2011 76130 1194.0 8
2011 76150 971.0 55
2011 76850 987.0 14
2011 77600 1015.0 58
2011 78200 973.0 102
2011 78210 893.0 8
2011 78250 905.0 22
2011 78300 660.0 25
